Price,Close,High,Low,Open,Volume
Ticker,CRWD,CRWD,CRWD,CRWD,CRWD
Date,,,,,
2024-02-02,303.57000732421875,305.2099914550781,296.7099914550781,299.75,2371600
2024-02-05,302.489990234375,307.7659912109375,295.57000732421875,305.0,2481300
2024-02-06,302.1099853515625,307.7699890136719,295.30999755859375,305.3699951171875,2087600
2024-02-07,317.7799987792969,321.07000732421875,306.7099914550781,307.7300109863281,4017400
2024-02-08,323.0400085449219,323.9289855957031,314.0299987792969,316.7099914550781,2531100
2024-02-09,329.3399963378906,336.989990234375,326.42999267578125,330.0,3870000
2024-02-12,321.2900085449219,330.6679992675781,320.6300048828125,329.70001220703125,3414100
2024-02-13,322.44000244140625,326.3399963378906,302.0,307.5400085449219,4531400
2024-02-14,334.54998779296875,334.8999938964844,326.55999755859375,327.760009765625,2394900
2024-02-15,331.3800048828125,338.4530029296875,327.1130065917969,337.5,2919900
2024-02-16,329.239990234375,332.3699951171875,325.1300048828125,331.7900085449219,2120600
2024-02-20,323.7099914550781,327.0,315.07000732421875,327.0,4136700
2024-02-21,292.3599853515625,294.5989990234375,273.1600036621094,283.0299987792969,9067400
2024-02-22,310.9100036621094,313.6600036621094,297.0,304.92999267578125,4797900
2024-02-23,311.489990234375,317.0,308.5799865722656,313.7799987792969,2965200
2024-02-26,321.0299987792969,323.3139953613281,309.489990234375,313.1600036621094,3884900
2024-02-27,321.2099914550781,329.0899963378906,320.7099914550781,323.3999938964844,2790400
2024-02-28,320.94000244140625,321.69000244140625,314.54998779296875,318.8599853515625,2072600
2024-02-29,324.1499938964844,328.9800109863281,321.07000732421875,324.9100036621094,3812100
2024-03-01,314.6000061035156,319.7200012207031,309.1199951171875,319.25,5829300
2024-03-04,313.80999755859375,317.989990234375,311.2900085449219,317.3299865722656,4796600
2024-03-05,297.55999755859375,308.5,289.79998779296875,307.5299987792969,13249300
2024-03-06,329.57000732421875,365.0,324.010009765625,360.04998779296875,23050900
2024-03-07,329.67999267578125,331.8500061035156,315.2099914550781,329.75,9729500
2024-03-08,322.8500061035156,341.739990234375,322.4100036621094,331.0,6013600
2024-03-11,317.3699951171875,323.5,316.0,319.1499938964844,3292000
2024-03-12,329.2699890136719,333.80999755859375,317.3699951171875,318.6099853515625,4156500
2024-03-13,332.1700134277344,334.82501220703125,325.5,329.7300109863281,2730900
2024-03-14,328.5899963378906,337.7799987792969,325.4750061035156,333.0,2776800
2024-03-15,315.6499938964844,327.3900146484375,315.6000061035156,325.5799865722656,4478500
2024-03-18,321.05999755859375,322.3699951171875,315.8999938964844,319.0299987792969,2736600
2024-03-19,320.8599853515625,321.4800109863281,310.2200012207031,318.1499938964844,2933600
