Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2024-02-02,165.66490173339844,166.62418793313842,164.821902057617,165.926527930658,5307700
2024-02-05,165.616455078125,166.25597922993953,163.80448476663534,165.257940683313,5142700
2024-02-06,166.10093688964844,166.49821838032628,164.66686455524882,166.13000482454507,5182700
2024-02-07,166.14939880371094,167.53501973847114,166.06219499354816,167.27340830798278,5769700
2024-02-08,168.45553588867188,168.6977785259663,166.0912453830275,166.39162388762185,9269700
2024-02-09,162.46730041503906,166.0718722672992,161.78902394505855,165.8877654857363,12731700
2024-02-12,165.3160858154297,165.76181882705438,162.01189229793667,162.6514164855777,7867500
2024-02-13,163.6397705078125,166.13001742653825,162.05065920987496,165.90715831365281,7302000
2024-02-14,162.32196044921875,163.40720279925918,160.90725685550052,163.11650865969318,5731900
2024-02-15,162.6514129638672,163.145582669807,161.50801991508507,162.73861677338857,4451400
2024-02-16,161.1591796875,162.21535397767065,160.53902437732674,162.0215628358997,5245300
2024-02-20,163.41688537597656,164.25989984992987,162.00219658321652,162.53513336897598,6117900
2024-02-21,163.59130859375,164.8994100359297,162.6514059265028,164.67655093724449,4195400
2024-02-22,163.02931213378906,163.59131688596253,160.94603114694988,162.43823944489276,7539200
2024-02-23,164.33741760253906,164.96724257047248,162.5932675874617,162.72892287833895,6409800
2024-02-26,163.0389862060547,164.1629956393127,162.50606420962797,164.1629956393127,3837000
2024-02-27,162.94210815429688,163.0002440276822,162.15724429295744,162.61266168156752,3567600
2024-02-28,161.84715270996094,163.27154062704005,161.2851480065615,162.90332708008103,5275300
2024-02-29,161.4322052001953,162.74053088410182,161.01237535013627,162.28165298446845,8489400
2024-03-01,160.69993591308594,161.1002491987722,159.39161019211855,160.96355867416588,6109200
2024-03-04,161.4615020751953,161.73488312870782,159.73334646509483,160.5632479139185,4303700
2024-03-05,158.21018981933594,161.5884195259398,157.98563002410478,161.3150384974457,6631300
2024-03-06,159.14752197265625,160.11412884981195,158.21020485861285,158.2297363334044,5302500
2024-03-07,159.25491333007812,160.0262352100588,158.65933001839082,159.9481391118057,5801600
2024-03-08,159.1963348388672,160.31914876085935,158.25901777411468,158.48359247703257,6063100
2024-03-11,160.83660888671875,161.51030314810205,159.45017231753275,160.04575558792905,5404800
2024-03-12,160.65110778808594,161.51031384771488,160.08482913767506,161.23693281022372,6158500
2024-03-13,161.39315795898438,162.21330108749783,160.84639587330875,161.19788791383587,4585800
2024-03-14,160.88543701171875,162.33045316152175,160.31914347641043,162.33045316152175,5155300
2024-03-15,160.76828002929688,161.4712640891598,159.7723834614662,161.15882010782116,21881200
2024-03-18,167.21229553222656,168.1105497109551,163.00416398588354,163.1018064632422,10478500
2024-03-19,167.73951721191406,168.56941855880768,166.95842219860674,167.05606466207573,7653700
2024-03-20,167.79811096191406,169.00880908012874,167.07559540615134,168.2277140005757,5046700
2024-03-21,168.3741455078125,169.3212207734992,167.00724043267087,167.85667323664117,4343000
2024-03-22,167.95431518554688,169.0087911966428,167.70045074511856,168.93068020713775,4106400
2024-03-25,168.52061462402344,168.99902396664606,168.04219038325238,168.1300596627363,3941900
2024-03-26,168.64755249023438,168.8818854955462,167.75907150366305,168.1007903759904,4593000
2024-03-27,169.4676971435547,170.56122128547196,168.9599831213149,169.8875269844161,4911300
2024-03-28,170.8736572265625,171.6547523156257,170.24878413494187,170.6295659423646,5710400
2024-04-01,168.89161682128906,172.0648031331546,168.5694145772296,171.42041354318354,4815400
2024-04-02,167.38803100585938,169.76059098932473,167.3099200120049,168.85257861979562,5158500
2024-04-03,165.66961669921875,166.88031474038348,164.71278310918854,165.98206067041554,5828000
2024-04-04,165.6403350830078,167.7199975363574,165.32790599459878,166.88032294516853,5422600
2024-04-05,165.14239501953125,165.952779853075,164.09769209311176,165.39624458619642,4412200
2024-04-08,165.57200622558594,166.03089904431476,164.7518630637451,165.15216145821378,3755700
2024-04-09,166.57765197753906,166.68505273554214,164.74208080372233,166.20662846841034,3774300
2024-04-10,164.95687866210938,165.62081466908398,163.80477500921228,165.56223514749925,4581500
2024-04-11,164.38082885742188,165.85513479531687,163.8047770238883,165.611043520279,4241500
2024-04-12,164.12698364257812,164.52728202165113,163.36542003613746,163.7266703653556,5453500
2024-04-15,163.004150390625,165.34743556843995,162.10589628681478,165.21074505042859,5133200
2024-04-16,163.54115295410156,164.52727633395386,162.945569651895,163.0822601688859,4569700
2024-04-17,165.47433471679688,165.68913620694596,164.23436190329247,165.09355296574125,4069200
2024-04-18,168.19842529296875,168.59872367409486,166.07971474642486,166.07971474642486,5574700
2024-04-19,170.0144500732422,170.15114058363233,167.739517730347,168.20816878052057,6636400
2024-04-22,172.2893829345703,173.0118835353144,169.91680812076507,170.28783160643255,7288700
2024-04-23,167.17323303222656,170.74673286134953,166.11875694011738,170.57097939692346,9145000
2024-04-24,173.21693420410156,173.8808553142347,163.68760139024556,164.51751767606095,10016700
2024-04-25,172.50418090820312,176.36083502071335,171.6645212137601,174.06637104730723,7441500
2024-04-26,171.43019104003906,174.34952813742154,170.21949291743422,170.31713538953846,4472100
2024-04-29,171.97695922851562,172.1527127049076,170.88343501327705,171.35208612007213,3224500
2024-04-30,171.7523956298828,172.29915772546042,170.70767777728648,172.10388767677554,4465100
2024-05-01,171.0103302001953,172.0648062274947,169.55555583048493,171.31301587598392,4340500
2024-05-02,171.3032684326172,172.15271627284164,170.42454572689573,171.43020067385598,3964800
2024-05-03,171.9866943359375,172.3186697692332,170.86388050899475,171.64497551380833,3491900
2024-05-06,171.6645050048828,172.5822756094384,170.99081075723248,172.5822756094384,3576200
2024-05-07,173.81251525878906,173.93943258811615,172.33819445702727,172.8166187083104,3708000
2024-05-08,173.21693420410156,174.65219207834997,173.00213269243523,174.4862118008167,3400900
2024-05-09,173.85157775878906,174.21282810006758,172.9045023630832,173.07048265226928,2421400
2024-05-10,175.54066467285156,175.90192986980503,173.4121960284395,173.74415656778203,4201600
2024-05-13,176.6244354248047,177.06381162537355,175.5992640185405,176.24365364295406,4408100
2024-05-14,175.61880493164062,176.995483448408,174.37883184601256,176.77092362238767,3508600
2024-05-15,175.21849060058594,176.1362612968987,174.76935609119937,175.00368908281186,4785100
2024-05-16,178.78221130371094,179.07512380882994,175.21848470285136,175.3844649795174,5984700
2024-05-17,177.88397216796875,178.63577751807685,177.53248011190587,178.27451227552743,4449100
2024-05-20,176.04840087890625,177.8253926339668,175.65786077136443,177.78632968432254,3221100
2024-05-21,176.80018615722656,177.28836868530655,175.55044007719366,177.21025769303594,3288100
2024-05-22,177.78631591796875,177.8253788645883,175.72618497918302,176.1850777639942,4047000
2024-05-23,175.03297424316406,177.5910460172179,174.80839954529978,177.04428394931165,4009000
2024-05-24,173.78323364257812,175.17942861764942,173.6660596970519,175.13060738185928,3447400
2024-05-28,169.28219604492188,172.1136490469307,167.8371648828477,172.06482780934778,6178100
2024-05-29,167.10487365722656,169.0868935324005,166.6850438335491,168.35461973916435,5352100
2024-05-30,166.4507293701172,167.65166925126772,166.37261836903951,167.3001771954932,3903900
2024-05-31,168.8135223388672,168.8818750479943,165.51341838257767,165.87466870753718,8155600
2024-06-03,167.18299865722656,168.81352665233678,166.9877286089657,168.63778807834692,5032400
2024-06-04,169.78012084960938,170.26830338295096,166.78268784192935,167.1634696220098,4619100
2024-06-05,169.38958740234375,169.85823848118605,167.89574998378768,169.73130625014886,5370700
2024-06-06,169.1064453125,170.27808054274612,168.59873125007158,169.8875404320475,5536700
2024-06-07,168.31427001953125,169.76084504351732,168.02889811715778,168.76694598590078,3521100
2024-06-10,163.25616455078125,167.65493056450785,162.98062791142834,167.39907940385746,9432600
2024-06-11,162.4394073486328,162.82319160325147,160.9042553145373,162.24258258985736,8284500
2024-06-12,161.21917724609375,162.69527297438728,159.85132913849998,162.25244725902365,6281100
2024-06-13,160.7271270751953,160.95345752344426,158.96564463081904,159.49704744137634,5432600
2024-06-14,161.19949340820312,161.77025223083484,159.9398929084719,160.5303372120557,3603300
2024-06-17,163.4923553466797,163.7580567709031,160.1957356867446,160.88459234329576,5412200
2024-06-18,163.82693481445312,164.4075438598018,162.6165405625973,163.45300078656584,3519500
2024-06-20,164.02374267578125,164.96845050588456,163.0888850934177,163.0888850934177,4942400
2024-06-21,164.6141815185547,166.37566402503353,163.79740681102834,164.5453048647552,10899100
2024-06-24,165.4014434814453,166.90705987758813,164.42721492456744,164.83068468186633,4476900
2024-06-25,164.68307495117188,166.26741819297584,164.58466256969487,165.4014372859661,4220900
2024-06-26,164.08279418945312,164.34848058926286,162.2229143126794,163.24633400024766,4778300
2024-06-27,163.6104278564453,164.58465633995547,162.6362143885558,163.97454164163108,4326500
2024-06-28,162.3016357421875,163.5710864561871,161.9965783659057,162.66574955974298,8755900
2024-07-01,160.2941436767578,163.41362396315944,159.9890863166813,162.40987473353576,4508000
2024-07-02,160.97314453125,161.84896063822478,159.73322965420434,160.89441763206318,4650800
2024-07-03,160.00877380371094,161.51439015922702,159.3789735962769,160.32366639961725,2879600
2024-07-05,161.77023315429688,161.89816624196558,159.88083262750507,160.0481216568146,4208200
2024-07-08,159.5364227294922,161.1404515715085,159.33961296733847,160.4614451287992,5268800
2024-07-09,159.31991577148438,159.9694014528944,158.92629627612018,159.60530266890146,5801200
2024-07-10,160.9829864501953,161.16012573462933,158.09968684885402,159.26087487494988,7372300
2024-07-11,161.33724975585938,162.2622720887854,155.51159412355776,156.5645495497331,10258600
2024-07-12,163.72854614257812,165.3522454687429,162.33117729473915,162.33117729473915,6677000
2024-07-15,161.24868774414062,163.64980571255106,161.04202774839786,163.36441881441206,4551800
2024-07-16,162.13433837890625,162.40987502822506,160.2449377768824,160.80586132303793,4461700
2024-07-17,167.18258666992188,167.35972594963636,163.2463317456639,163.39393529907522,7671000
2024-07-18,167.6549530029297,169.9183028567805,165.70651078798315,166.02141842688744,6228600
2024-07-19,166.66104125976562,167.7730381286806,165.7852251020849,167.56637812939795,5332800
2024-07-22,164.98814392089844,167.0054777581524,164.68308653872475,166.56263702596763,5308400
2024-07-23,163.63011169433594,165.67696600296296,163.53169931757077,165.1160424835185,3344300
2024-07-24,165.49000549316406,165.9820373873635,162.32131889326993,163.63012553371507,5867000
2024-07-25,168.2946014404297,170.72524031664764,166.16901995087815,166.78898497256964,6270900
2024-07-26,169.9970245361328,170.00685976868746,168.00921141967183,168.00921141967183,5746300
2024-07-29,170.44969177246094,170.72522842610624,168.12730068057814,169.54433989263046,4152700
2024-07-30,170.42015075683594,170.68585217018529,168.81613707623598,169.93796913572976,4994600
2024-07-31,169.9182891845703,171.90610220224497,169.51481943554728,171.1483688957712,6245600
2024-08-01,172.1717987060547,172.7622279411923,169.7509952966895,169.78051600766534,5994500
2024-08-02,175.2027130126953,177.08227848160624,171.06964804007163,175.98996705881936,6856100
2024-08-05,171.26644897460938,178.0269771687114,170.40048308254447,176.65912915259148,7502300
2024-08-06,169.7411651611328,173.40188358825355,169.61323206598252,170.51856893287174,7287100
2024-08-07,169.05230712890625,171.61087891729014,168.59964620696874,168.88501809117966,5428900
2024-08-08,169.62306213378906,170.24302709526188,167.10386136077474,167.49749586632137,5112500
2024-08-09,169.6427459716797,170.0265302261114,167.67461850985123,169.34752384928123,3223000
2024-08-12,168.68821716308594,170.11510668999998,167.98954026402242,169.49515669791668,3802300
2024-08-13,169.62306213378906,169.67226832393501,167.50733109810216,168.8850143284628,3894700
2024-08-14,170.94171142578125,171.5616613443167,169.1900642306169,169.4852863428635,3555800
2024-08-15,169.77069091796875,171.5223232800751,169.09168449371882,170.9417292420378,4472100
2024-08-16,169.86907958984375,170.0265333934722,168.38314873410593,169.77068222429187,4614600
2024-08-19,171.0499725341797,171.20741132626696,169.69195972002868,169.90845495172294,3521700
2024-08-20,173.04762268066406,173.22474695454974,169.7510029931001,170.7645874908816,5330100
2024-08-21,172.41783142089844,174.00217479848,171.8372223454201,173.13619381725604,4020700
2024-08-22,172.9393768310547,173.27395491778367,171.9159420749612,173.02793896890262,5265900
2024-08-23,173.06729125976562,173.86438051481127,170.9023539584464,173.81518933857117,5283600
2024-08-26,173.1656951904297,174.02182582766883,172.92951449039577,173.51012350102658,4146700
2024-08-27,172.50637817382812,174.0612006988613,171.73880965098684,173.50027715452742,3520600
2024-08-28,171.1483612060547,172.9393643925915,170.58745269107195,172.7523898823903,3915500
2024-08-29,169.3475341796875,171.18774367937434,169.17040990481618,170.99091890868823,4654300
2024-08-30,170.12493896484375,170.79409508004773,168.52091031278044,169.31799951526423,8677300
2024-09-03,174.71067810058594,175.05510643221263,169.14088847920274,169.6329203725999,7032100
2024-09-04,175.67506408691406,176.78704590893383,173.48059112275365,175.06493435395709,6188500
2024-09-05,176.44264221191406,176.86578243810087,174.6910098504664,175.88171863883264,5743100
2024-09-06,175.84274291992188,177.07227924368658,175.5056171171024,175.94190468779186,6395300
